run_id,basket_uid,baseline_tag,close_reason,close_time,main_side,final_pl_anchor,move_fav_max_1h,move_adv_max_1h,coverage_1h,move_fav_max_4h,move_adv_max_4h,coverage_4h,move_fav_max_24h,move_adv_max_24h,coverage_24h
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.05.15T06:39:00#230#-1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.05.15 06:56:00,SELL,407.00,7.51,9.72,1.00,55.46,9.72,1.00,MISSING,MISSING,0.71
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.05.15T07:01:01#232#-1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.05.15 07:20:30,SELL,404.00,31.56,2.52,1.00,59.67,2.52,1.00,MISSING,MISSING,0.69
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.05.15T07:33:21#234#-1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.05.15 07:38:39,SELL,404.00,47.67,2.00,1.00,61.25,2.00,1.00,MISSING,MISSING,0.68
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.05.15T07:41:45#236#-1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.05.15 07:43:12,SELL,406.00,45.58,3.16,1.00,59.16,3.16,1.00,MISSING,MISSING,0.68
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.05.15T07:51:03#238#-1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.05.15 07:51:39,SELL,401.00,45.90,-0.11,1.00,58.31,-0.11,1.00,MISSING,MISSING,0.67
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.05.15T09:34:25#240#-1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.05.15 09:34:40,SELL,409.00,10.62,13.65,1.00,42.99,13.65,1.00,MISSING,MISSING,0.60
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.05.15T10:09:05#242#-1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.05.15 10:53:29,SELL,402.00,19.91,2.88,1.00,38.08,2.88,1.00,MISSING,MISSING,0.55
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.05.15T12:06:02#244#-1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.05.15 12:06:16,SELL,401.00,26.94,0.86,1.00,26.94,13.59,1.00,MISSING,MISSING,0.49
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.05.15T19:31:03#246#-1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.05.15 23:05:27,SELL,403.00,5.85,4.74,0.83,MISSING,MISSING,0.21,MISSING,MISSING,0.03
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.05.18T01:31:40#248#-1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.05.18 01:56:40,SELL,408.00,12.09,4.04,1.00,63.67,4.04,1.00,63.67,40.27,0.96
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.05.18T02:10:52#250#-1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.05.18 02:12:28,SELL,407.00,19.37,1.90,1.00,62.05,1.90,1.00,62.05,44.45,0.96
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.05.18T02:21:04#252#-1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.05.18 02:26:29,SELL,402.00,25.00,4.51,1.00,59.31,4.51,1.00,59.31,49.27,0.96
