run_id,basket_uid,baseline_tag,close_reason,final_pl_anchor,worst_prehedge,worst_posthedge,worst_lifecycle,recovery_from_worst
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.04.20T17:01:03#50#1#1,V1_MOSTLY_IDENTICAL,basket close,403.00,-1375.00,-44.00,-1375.00,1778
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.04.20T17:36:02#52#1#1,V1_MOSTLY_IDENTICAL,basket close,400.00,-3764.00,-67.00,-3764.00,4164
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.04.21T02:15:56#54#1#1,V1_MOSTLY_IDENTICAL,basket close,400.00,-936.00,-71.00,-936.00,1336
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.04.21T03:27:20#56#1#1,V1_MOSTLY_IDENTICAL,basket close,407.00,-866.00,-60.00,-866.00,1273
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.04.21T03:59:02#58#0#2,V1_MOSTLY_IDENTICAL,hard stop emergency close,-7569.00,-6292.00,-7602.00,-7602.00,33
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.05.01T02:46:04#62#1#1,V1_MOSTLY_IDENTICAL,basket close,416.00,-2796.00,-75.00,-2796.00,3212
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.05.01T05:43:39#64#1#1,V1_MOSTLY_IDENTICAL,basket close,401.00,-1545.00,-69.00,-1545.00,1946
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.05.01T12:35:01#66#-1#1,V1_MOSTLY_IDENTICAL,basket close,401.00,-304.00,-71.00,-304.00,705
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.05.01T13:08:59#68#-1#1,V1_MOSTLY_IDENTICAL,basket close,402.00,-1390.00,-50.00,-1390.00,1792
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.05.04T04:47:25#70#-1#1,V1_MOSTLY_IDENTICAL,basket close,409.00,-2519.00,-71.00,-2519.00,2928
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.05.04T05:43:25#72#-1#1,V1_MOSTLY_IDENTICAL,basket close,408.00,-2518.00,-69.00,-2518.00,2926
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.05.04T10:49:20#74#-1#1,V1_MOSTLY_IDENTICAL,basket close,405.00,-64.00,-63.00,-64.00,469
