basket_id,sample_type,close_reason,final_pl,entry_rows,hedge_rows,close_rows,max_concurrent_positions,leg_pl_sum,gross_leg_abs_sum,gross_to_net_ratio,margin_at_hs_min,margin_at_hedge_min,open_time_gate
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0044,in6run,BasketClose,400.00,1,0,1,1,400,400,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0045,in6run,BasketClose,400.00,0,0,1,1,400,400,1.00,NA,NA,INTERVAL_ONLY
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0046,in6run,BasketClose,403.00,0,0,1,1,403,403,1.00,NA,NA,INTERVAL_ONLY
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0047,in6run,BasketClose,406.00,0,0,1,1,406,406,1.00,NA,NA,INTERVAL_ONLY
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0048,in6run,BasketClose,403.00,1,0,1,1,403,403,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0049,in6run,BasketClose,405.00,1,0,1,1,405,405,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0050,in6run,BasketClose,412.00,1,0,1,1,412,412,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0051,in6run,BasketClose,402.00,1,0,1,1,402,402,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0052,in6run,BasketClose,400.00,1,0,1,1,400,400,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0053,in6run,BasketClose,400.00,1,0,1,1,400,400,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0054,in6run,BasketClose,405.00,1,0,1,1,405,405,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0055,in6run,BasketClose,402.00,1,0,1,1,402,402,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0056,in6run,BasketClose,408.00,1,0,1,1,408,408,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0057,in6run,BasketClose,400.00,1,0,1,1,400,400,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0058,in6run,BasketClose,402.00,0,0,1,1,402,402,1.00,NA,NA,INTERVAL_ONLY
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0059,in6run,HardStop,-8759.00,0,1,2,2,-8759,222161,25.36,NA,10764.2,INTERVAL_ONLY
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0060,in6run,BasketClose,402.00,1,0,1,1,402,402,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0061,in6run,BasketClose,402.00,1,0,1,1,402,402,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0062,in6run,BasketClose,400.00,0,0,1,1,400,400,1.00,NA,NA,INTERVAL_ONLY
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0063,in6run,BasketClose,400.00,0,0,1,1,400,400,1.00,NA,NA,INTERVAL_ONLY
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0064,in6run,BasketClose,401.00,1,0,1,1,401,401,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0065,in6run,BasketClose,402.00,1,0,1,1,402,402,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0066,in6run,BasketClose,404.00,1,0,1,1,404,404,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0067,in6run,BasketClose,403.00,1,0,1,1,403,403,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0068,in6run,BasketClose,405.00,1,0,1,1,405,405,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0069,in6run,BasketClose,400.00,1,0,1,1,400,400,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0070,in6run,BasketClose,405.00,1,0,1,1,405,405,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0071,in6run,BasketClose,405.00,1,0,1,1,405,405,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0072,in6run,BasketClose,400.00,1,0,1,1,400,400,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0073,in6run,BasketClose,402.00,1,0,1,1,402,402,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0074,in6run,BasketClose,403.00,1,0,1,1,403,403,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0075,in6run,BasketClose,405.00,1,0,1,1,405,405,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0076,in6run,BasketClose,417.00,1,0,1,1,417,417,1.00,NA,NA,EXACT
